name,price,side_effects,used_for
Jalra-M  50mg/1000mg Tablet,₹ 283.76,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Januvia 50mg Tablet,₹ 290,"Headache,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),","Type 2 diabetes mellitus,"
Jointace DN Tablet,₹ 335,"Nausea,Diarrhea,Constipation,Indigestion,Heartburn,Urine discoloration,","Osteoarthritis,"
Jigest 10mg Tablet,₹ 226.77,"Headache,Nausea,Breast pain,","Female infertility,Pain during menstruation,Premenstrual syndrome (PMS),Endometriosis,Heavy menstrual bleeding,"
Janumet XR CP Tablet,₹ 334.61,"Diarrhea,Nausea,Vomiting,Upset stomach,Headache,Nasal congestion (stuffy nose),Sore throat,Respiratory tract infection,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,","Type 2 diabetes mellitus,"
Jardiance Met 12.5mg/500mg Tablet,₹ 400,"Taste change,Nausea,Vomiting,Diarrhea,Urinary tract infection,Yeast infections,","Type 2 diabetes mellitus,"
Jupiros 10 Tablet,₹ 171,"Muscle pain,Weakness,Headache,Abdominal pain,Nausea,","High cholesterol,Prevention of heart attack and stroke,"
Junior Lanzol 30mg Tablet DT,₹ 158.38,"Nausea,Headache,Flatulence,Diarrhea,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Jaknat Tablet,₹ 370,"Upper respiratory tract infection,Headache,Diarrhea,Nasopharyngitis (inflammation of the throat and nasal passages),","Rheumatoid arthritis,"
Jetta 12mg Tablet,₹ 25.85,"No common side effects seen,","Parasitic infections,"
Jupiros-A Capsule,₹ 77,"Increased bleeding tendency,Nausea,Abdominal pain,Constipation,Headache,Muscle pain,Weakness,Dizziness,Indigestion,","Prevention of heart attack and stroke,"
Jardiance Met 12.5mg/1000mg Tablet,₹ 420,"Taste change,Nausea,Vomiting,Diarrhea,Urinary tract infection,Yeast infections,","Type 2 diabetes mellitus,"
Jointace OD Tablet,₹ 285,"Nausea,Upset stomach,Heartburn,","Osteoarthritis,"
Januvia 100mg Tablet,₹ 674.20,"Headache,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),","Type 2 diabetes mellitus,"
Jalra-M  50mg/1000mg Tablet,₹ 425.64,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Jectocos Plus Injection 1.5ml,₹ 288.90,"Vomiting,Nausea,Dark colored stool,Constipation,Diarrhea,No common side effects seen,No common side effects seen,","Iron deficiency anemia,Anemia due to chronic kidney disease,Vitamin B12 deficiency,Anemia due to folic acid deficiency,"
Jilazo Solution for Injection,"₹ 2,900","Vomiting,Dark colored stool,Nausea,Constipation,Diarrhea,","Iron deficiency anemia,"
Jonac 100mg Suppository,₹ 90.40,"Nausea,Constipation,Anal irritation,Anal itching,Black colored stool,","Pain relief,"
Juvobin 40 Injection,"₹ 2,299","High blood pressure,Hypersensitivity,","Treatment of Anemia due to chronic kidney disease,Treatment of Anemia due to cancer chemotherapy,"
Justin 100mg Suppository,₹ 69,"Nausea,Constipation,Anal irritation,Anal itching,Black colored stool,","Pain relief,"
Asthalin Syrup,₹ 16.80,"Tremor,Headache,Palpitations,Increased heart rate,Muscle cramp,","Treatment and prevention of Asthma,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),"
Atorva 40 Tablet,₹ 215.43,"Constipation,Flatulence,Dyspepsia,Abdominal pain,","High cholesterol,Prevention of Heart attack,"
Alex Cough Lozenges Lemon Ginger,₹ 99,"Sleepiness,Dizziness,Confusion,Nausea,","Treatment of Dry cough,"
Acivir 400 DT Tablet,₹ 68.69,"Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,Photophobia,","Herpes simplex virus infections,Chickenpox,Herpes labialis,Shingles,Genital herpes infection,"
Azee 250 Tablet,₹ 117.82,"Vomiting,Nausea,Abdominal pain,Diarrhea,","Bacterial infections,"
Alaspan Tablet,₹ 117,"Sleepiness,Headache,","Treatment of Allergic conditions,"
Atarax 10mg Tablet,₹ 39.60,"Sedation,Nausea,Vomiting,Upset stomach,Constipation,","Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,"
Aldigesic-SP Tablet,₹ 115,"Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,","Pain relief,"
AB Phylline SR 200 Tablet,₹ 210,"Nausea,Headache,Vomiting,Upset stomach,Restlessness,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Ampoxin 500 Capsule,₹ 80.90,"Allergic reaction,Rash,Stomach pain,Nausea,Diarrhea,","Bacterial infections,"
Amaryl 2mg Tablet,₹ 190.96,"Hypoglycemia (low blood glucose level),Headache,Nausea,Dizziness,","Type 2 diabetes mellitus,"
Adaferin Gel,₹ 259,"Erythema (skin redness),Dry skin,Skin peeling,Skin burn,Itching,","Acne,"
Amifru 40 Tablet,₹ 9.35,"Nausea,Vomiting,Diarrhea,Weakness,Headache,Dehydration,Muscle cramp,Decreased sodium level in blood,Decreased magnesium level in blood,Decreased calcium level in blood,Increased blood uric acid,","Edema,"
Amoxyclav 625 Tablet,₹ 200.50,"Vomiting,Nausea,Diarrhea,","Bacterial infections,"
AB-Flo Capsule,₹ 142.45,"Nausea,Headache,Vomiting,Upset stomach,Restlessness,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Angispan - TR 2.5mg Capsule,₹ 180.50,"Blurred vision,Decreased blood pressure,Dizziness,Headache,Increased heart rate,Lightheadedness,Paresthesia (tingling or pricking sensation),","Angina (heart-related chest pain),"
Amixide-H Tablet,₹ 42.50,"Constipation,Difficulty in urination,Weight gain,Confusion,Orthostatic hypotension (sudden lowering of blood pressure on standing),Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Uncoordinated body movements,Depression,Memory impairment,","Depression,"
Ambrodil Syrup,₹ 63.45,"Vomiting,Nausea,Upset stomach,","Treatment of Respiratory tract disorders associated with viscid mucus,"
Ascoril SF Expectorant,₹ 124,"Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremor,Increased heart rate,","Cough with mucus,"
Amlong Tablet,₹ 43.68,"Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,","Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),"
Akurit 4 Tablet,₹ 75.20,"Nausea,Vomiting,Rash,Fever,Dark colored urine,Sweating,Increased sputum production,Salivation,Watery eyes,Peripheral neuropathy (tingling and numbness of feet and hand),Increased liver enzymes,Jaundice,Increased uric acid level in blood,Visual impairment,","Tuberculosis (TB),"
Aten 50 Tablet,₹ 27.90,"Cold extremities,Fatigue,Slow heart rate,Nausea,Diarrhea,Dizziness,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Atarax Syrup,₹ 91.25,"Sedation,Nausea,Vomiting,Upset stomach,Constipation,","Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,"
Aziderm 20% Cream,₹ 285,"Application site reactions (burning, irritation, itching and redness),","Acne,"
ATM 500 Tablet,₹ 118.90,"Vomiting,Nausea,Abdominal pain,Diarrhea,","Bacterial infections,"
Amrolstar Nail Lacquer,₹ 399,"Blisters on skin,Nail disorder,Skin irritation,Skin rash,Erythema (skin redness),","Fungal nail infections,"
Aquazide 12.5 Tablet,₹ 10.92,"Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,","Treatment of Hypertension (high blood pressure),Treatment of Edema,"
Anxit 0.5 Tablet,₹ 43.50,"Lightheadedness,Drowsiness,","Anxiety,Panic disorder,"
Amlodac 5 Tablet,₹ 87.29,"Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,","Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),"
Aciloc 300 Tablet,₹ 41.60,"Sleepiness,Headache,Tiredness,Constipation,Diarrhea,","Heartburn,Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Foracort 200 Rotacap,₹ 168.67,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Fluka 150 Tablet,₹ 13.22,"Headache,Nausea,Stomach pain,","Fungal infections,"
Fruselac Tablet,₹ 46.65,"Dehydration,Decreased sodium level in blood,Breast enlargement in male,Decreased magnesium level in blood,Decreased calcium level in blood,Increased blood uric acid,","Edema,"
Forcan 150 Tablet,₹ 13.22,"Headache,Nausea,Stomach pain,","Fungal infections,"
Finpecia Tablet,₹ 121.12,"Decreased libido,Erectile dysfunction,Ejaculation disorder,","Treatment of Hair loss,"
Frisium 5 Tablet,₹ 84.43,"Aggressive behavior,Breathing problems,Constipation,Cough,Difficulty in urination,Drooling,Fever,Insomnia (difficulty in sleeping),Sleepiness,Slurred speech,Tiredness,","Severe anxiety,Epilepsy/Seizures,"
Folitrax 15 Tablet,₹ 387.70,"Abdominal pain,Indigestion,Loss of appetite,Nausea,Vomiting,Tiredness,Mouth sore,","Rheumatoid arthritis,Psoriasis,"
Frisium 10mg Tablet,₹ 151.31,"Aggressive behavior,Breathing problems,Constipation,Cough,Difficulty in urination,Drooling,Fever,Insomnia (difficulty in sleeping),Sleepiness,Slurred speech,Tiredness,","Severe anxiety,Epilepsy/Seizures,"
Folitrax 7.5 Tablet,₹ 121.28,"Abdominal pain,Indigestion,Loss of appetite,Nausea,Vomiting,Tiredness,Mouth sore,","Rheumatoid arthritis,Psoriasis,"
Flodart Plus Capsule PR,₹ 164,"Impotence,Decreased libido,Breast pain,Ejaculation disorder,Dizziness,","Treatment of Benign prostatic hyperplasia,"
Fosirol Powder,₹ 466.51,"Headache,Dizziness,Vaginal inflammation,Indigestion,","Bacterial infections of urinary tract,"
Ferinject Solution for Injection,"₹ 3,045","Vomiting,Headache,Dizziness,High blood pressure,Injection site reactions (pain, swelling, redness),Nausea,Dark colored stool,","Iron deficiency anemia,"
Flunarin 10 Tablet,₹ 48.75,"Sleepiness,Weight gain,Muscle pain,Fatigue,Constipation,Nausea,Insomnia (difficulty in sleeping),Runny nose,Increased appetite,Depression,Stomach discomfort,Breast pain,","Prevention of Migraine,"
Faronem ER Tablet,₹ 682,"Rash,Nausea,Abdominal pain,Diarrhea,","Severe bacterial infections,"
Fas 3 Kit,₹ 115.50,"Vaginal itching,Taste change,Vomiting,Vaginal infection,Headache,Dizziness,Stomach pain,Nausea,Indigestion,Diarrhea,Loss of appetite,","Syndromic treatment of vaginal discharge,"
Fourderm Cream,₹ 97.50,"Itching,Thinning of skin,Burning sensation at the site of application,Irritation,","Skin infections,"
Flunil 20 Capsule,₹ 40.77,"Erectile dysfunction,Indigestion,Influenza like syndrome,Loss of appetite,Low sexual desire,Nausea,Sore throat,Sweating,Tremor,Weakness,Yawning,Abnormal dreams,Delayed ejaculation,Dryness in mouth,Insomnia (difficulty in sleeping),Nervousness,Sleepiness,Sinus infection,","Depression,Panic disorder,Obsessive-compulsive disorder,"
Folitrax 10 Tablet,₹ 127.16,"Abdominal pain,Indigestion,Loss of appetite,Nausea,Vomiting,Tiredness,Mouth sore,","Rheumatoid arthritis,Psoriasis,"
Febustat 40 Tablet,₹ 123.20,"Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,","Gout,"
Freedase 30 Tablet,₹ 480,"Headache,Breast pain,Nausea,Vomiting,Pain,Mood changes,Weight gain,Menstrual disorder,","Contraception,"
Foracort 400 Rotacap,₹ 215.66,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Favilow 200mg Tablet,₹ 330,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Flotral 10 Tablet PR,₹ 495,"Upper respiratory tract infection,Dizziness,Headache,Tiredness,","Treatment of Benign prostatic hyperplasia,"
Fevindo 400 Tablet,₹ 700,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Fertisure M Tablet,₹ 323,"Nausea,Vomiting,Stomach pain,Dizziness,Tiredness,Headache,Irritation,Insomnia (difficulty in sleeping),Photosensitivity,Rash,Heartburn,Increased liver enzymes,","Nutritional deficiencies,"
Fluimucil 600mg Tablet,₹ 239,"Fever,Nausea,Vomiting,Rash,Gastrointestinal discomfort,","Respiratory disease with excessive mucus,"
Flutibact Ointment,₹ 195.25,"Application site reactions (burning, irritation, itching and redness),","Treatment of Skin infections,"
Fluticone-FT Nasal Spray,₹ 424.60,"Nasal discomfort,Nosebleeds,Headache,Nasal inflammation,","Treatment of Sneezing and runny nose due to allergies,"
Faceclin Gel,₹ 168.54,"Skin peeling,Dry skin,Erythema (skin redness),Burning sensation at the site of application,","Acne,"
Flucold Tablet,₹ 34,"Nausea,Vomiting,Allergic reaction,Sleepiness,Headache,Dizziness,","Common cold symptoms,"
Ketorol-DT Tablet,₹ 121.50,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Diarrhea,Heartburn,Loss of appetite,","Pain relief,"
Kenacort 40mg Injection,₹ 140.49,"Infection,Headache,Joint pain,Injection site reactions (pain, swelling, redness),","Rheumatoid arthritis,Osteoarthritis,"
Kenacort 0.1% Oral Paste,₹ 82.75,"Application site irritation,","Mouth ulcers,"
Keto Soap,₹ 105,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Krimson 35 Tablet,₹ 358,"Nausea,Stomach pain,Headache,Weight gain,Breast pain,Mood changes,","Polycystic ovarian syndrome (PCOS),"
Ketoadd Tablet,₹ 380,"No common side effects seen,","Chronic kidney disease,"
Keraglo - AD Anti-Dandruff Shampoo,₹ 295,"Dryness,Hair discoloration,Abnormal hair texture,","Treatment of Fungal infections,"
K-Bind Powder,₹ 145,"Vomiting,Stomach irritation,Nausea,Constipation,Loss of appetite,","Reducing Increased potassium levels in blood,"
KZ Cream,₹ 209,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Ketomac Shampoo,₹ 216,"Dryness,Hair discoloration,Abnormal hair texture,","Treatment of Fungal infections,"
Ketosteril Tablet,"₹ 3,790","No common side effects seen,","Chronic kidney disease,"
Korandil 5 Tablet,₹ 150,"Headache,Nausea,Vomiting,Weakness,Dizziness,Flushing (sense of warmth in the face, ears, neck and trunk),","Angina (heart-related chest pain),"
Ketostar Soap,₹ 81.40,"Application site reactions (burning, irritation, itching and redness),","Dandruff,"
Ketostar Cream,₹ 121,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Ketorol Gel,₹ 118.25,"Application site irritation,Burning sensation,","Pain relief,"
K-Cit Oral Solution,₹ 189.75,"Nausea,Vomiting,Diarrhea,Stomach pain,","Kidney stone,"
KZ Lotion,₹ 259,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Ketoford 2% Cream,₹ 85,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
Ketoflam-P Tablet,₹ 139.55,"Nausea,Vomiting,Constipation,Dryness in mouth,Dizziness,Headache,Sleepiness,","Pain relief,"
Kutub 30 X Tablet,₹ 220,"Nausea,Vomiting,Indigestion,Dryness in mouth,Headache,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Nosebleeds,","Treatment of Premature ejaculation,"
Keralin Ointment,₹ 90,"Application site reactions (burning, irritation, itching and redness),","Treatment of Psoriasis,"
Ketoford 10mg Tablet DT,₹ 65,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Diarrhea,Heartburn,Loss of appetite,","Pain relief,"
K-Cor 5 Tablet,₹ 330,"Headache,Nausea,Vomiting,Weakness,Dizziness,Flushing (sense of warmth in the face, ears, neck and trunk),","Angina (heart-related chest pain),"
Ketanov 10mg Tablet,₹ 69,"Vomiting,Stomach pain/epigastric pain,Nausea,Indigestion,Diarrhea,Heartburn,Loss of appetite,","Pain relief,"
Ketocip Shampoo,₹ 218.50,"Dryness,Hair discoloration,Abnormal hair texture,","Treatment of Fungal infections,"
Kefpod CV 200 Tablet,₹ 317.50,"Nausea,Diarrhea,Stomach pain,Headache,","Respiratory tract infection,"
Keto Cream,₹ 98,"Skin peeling,Blisters on skin,Dry skin,Application site reactions (burning, irritation, itching and redness),","Fungal skin infections,"
KZ Plus Lotion,₹ 349,"Application site reactions (burning, irritation, itching and redness),","Treatment of Fungal skin infections,Treatment of Dandruff,"
Kenacort 4mg Tablet,₹ 80.42,"Increased risk of infection,Weight gain,Mood changes,Behavioural changes,Reduction in bone density,Upset stomach,","Treatment of Osteoarthritis,Treatment of Rheumatoid arthritis,Treatment of Severe allergic reactions,"
Ketostar Anti Dandruff Lotion,₹ 166.37,"Application site reactions (burning, irritation, itching and redness),","Treatment of Fungal skin infections,Treatment of Dandruff,"
Lasilactone  50 Tablet,₹ 48.73,"Dehydration,Decreased sodium level in blood,Breast enlargement in male,Decreased magnesium level in blood,Decreased calcium level in blood,Increased blood uric acid,","Edema,"
Levipil 500 Tablet,₹ 132,"Sleepiness,Dizziness,Fatigue,Headache,Decreased appetite,Behavioural changes,Aggressive behavior,Irritation,Agitation,Nasal congestion (stuffy nose),Infection,","Epilepsy/Seizures,"
Lasix Tablet,₹ 12.60,"Dehydration,Decreased potassium level in blood,Decreased magnesium level in blood,Decreased blood pressure,Electrolyte imbalance,Decreased sodium level in blood,","Treatment of Hypertension (high blood pressure),Treatment of Edema,"
Librax 5 mg/2.5 mg Tablet,₹ 152.18,"Sleepiness,Nausea,Constipation,Memory impairment,Dizziness,Blurred vision,Dryness in mouth,Difficulty in urination,Impaired coordination,Depression,","Irritable bowel syndrome,"
Levocet Tablet,₹ 47,"Sleepiness,Fatigue,Headache,Dryness in mouth,","Treatment of Allergic conditions,"
